PWM,RPS_Left,RPS_Right
1.3,0.79,0.74
1.31,0.81,0.73
1.32,0.8,0.74
1.33,0.81,0.74
1.34,0.79,0.74
1.35,0.77,0.73
1.36,0.77,0.73
1.37,0.81,0.72
1.38,0.8,0.71
1.39,0.76,0.69
1.4,0.74,0.67
1.41,0.72,0.66
1.42,0.68,0.62
1.43,0.64,0.57
1.44,0.57,0.52
1.45,0.48,0.45
1.46,0.33,0.31
1.47,0.22,0.22
1.48,0.11,0.11
1.49,0.02,0.01
1.5,0.0,0.0
1.51,0.04,0.06
1.52,0.17,0.16
1.53,0.27,0.27
1.54,0.36,0.36
1.55,0.46,0.44
1.56,0.54,0.52
1.57,0.61,0.57
1.58,0.64,0.62
1.59,0.69,0.66
1.6,0.71,0.68
1.61,0.73,0.71
1.62,0.75,0.72
1.63,0.76,0.73
1.64,0.77,0.74
1.65,0.77,0.75
1.66,0.78,0.74
1.67,0.78,0.76
1.68,0.78,0.76
1.69,0.79,0.76
1.7,0.78,0.76
